time, y-4, vel-4, acel-4, force-4

0, 0, 0, 0, 0, 0, 0, 0, 0, -10813,074689895222, 1663,5499522915727, -7,105427357601002E-13, 10813,07468989522, 0, 100, 0, 0, 
0,6283185307179586, -164,0778735571645, -40,69165375338703, 5,329070518200751E-15, 164,07787355716448, -522,2760925725944, -129,52555674870845, 1,6962958301138757E-14, 522,2760925725943, 9150,618254062249, -2075,842604557308, 7,645375090218589E-13, -9150,618254062247, 0, 100, 0, 0, 
1,2566370614359172, -53,034898780998745, -13,391402793882868, 3,552713678800501E-15, 53,03489878099873, 875,736859197703, 216,4249545057954, -2,261727773485168E-14, -875,7368591977029, -4700,604818447562, 3177,0372831837612, -8,905253132992957E-13, 4700,604818447562, 0, 100, 0, 0, 
1,8849555921538759, -75,16085267376066, -18,240772142185765, 1,3322676295501878E-15, 75,16085267376064, -946,1659578508314, -231,86097655900997, 1,5549378442710528E-14, 946,1659578508313, -1098,6919648789044, -4603,97572013409, 1,0120135531382526E-12, 1098,6919648789035, 0, 100, 0, 0, 
2,5132741228718345, -149,07806587010032, -37,6394527436114, 8,43769498715119E-15, 149,0780658701003, 710,8801606553328, 170,11305841545496, 7,067899292141148E-15, -710,8801606553327, 6373,233578708797, 5883,4988133497, -1,039010939769132E-12, -6373,233578708795, 0, 100, 0, 0, 
3,141592653589793, -3,05185939808365, -0,039818211361016154, -4,440892098500626E-16, 3,0518593980836215, -246,06430903574937, -50,429704530327484, -3,5339496460705743E-14, 246,06430903574926, -9419,28243102456, -6585,508231069008, 9,040240066147357E-13, 9419,282431024556, 0, 100, 0, 0, 
3,7699111843077517, -173,9332118075073, -43,903956959243196, 1,021405182655144E-14, 173,93321180750726, -297,86792932800927, -89,19418559355631, 6,926541306298326E-14, 297,8679293280094, 9254,386386233185, 6462,117055516907, -5,71056238167224E-13, -9254,386386233178, 0, 100, 0, 0, 
4,39822971502571, -33,48799901861025, -7,741576922993268, -3,9968028886505635E-15, 33,487999018610225, 744,9189263069302, 204,3026163282933, -1,1449996853268662E-13, -744,9189263069301, -5935,092732922079, -5527,887719366402, -1,3887138835161413E-14, 5935,092732922072, 0, 100, 0, 0, 
5,026548245743669, -98,04981839174826, -24,722099742428192, 5,773159728050814E-15, 98,04981839174819, -950,4255800717503, -258,35329918824925, 1,4559872541810767E-13, 950,42558007175, 538,6435642449533, 4055,208201263121, 8,418069955154608E-13, -538,6435642449469, 0, 100, 0, 0, 
5,654866776461628, -130,2768334239498, -32,20543212267256, 3,552713678800501E-15, 130,27683342394974, 847,8438052023166, 234,53311240593865, -1,526666247102488E-13, -847,843805202316, 5185,425669298882, -2486,302025502291, -1,791215092034717E-12, -5185,425669298886, 0, 100, 0, 0, 
6,283185307179586, -11,65817038205141, -2,8818003166715513, -5,329070518200751E-15, 11,658170382051338, -470,26887388091563, -141,19309337930298, 1,243950275416842E-13, 470,26887388091507, -9381,108637862833, 1290,3283675046132, 2,673129721976775E-12, 9381,108637862833, 0, 100, 0, 0, 
6,911503837897545, -178,33123622511312, -44,3658317010803, 1,0658141036401503E-14, 178,33123622511303, -60,267972303168676, 9,145320295143478, -7,350615263826793E-14, 60,26797230316913, 10686,182041027476, -811,7863340469662, -3,3030687433639594E-12, -10686,182041027472, 0, 100, 0, 0, 
7,5398223686155035, -17,482641138109273, -4,326425769010065, -1,0658141036401503E-14, 17,482641138109216, 572,2649522528369, 118,30406715589524, 5,654319433712903E-15, -572,2649522528374, -8672,767208798252, 1159,2494169390773, 3,555044351918833E-12, 8672,767208798245, 0, 100, 0, 0, 
